Código de ubicación	Ub Fisica	ZonaG	AnaquelG	Columna	Nivel	Número de artículo	Codigo GET	EMPRESA	AlmacenG	Codigo Barra	Descripción del artículo	Nombre de grupo	Unidad de medida de inventario	Ferreteria	Cantidad en almacén	CUUSD	CU SOL
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000111	11-8001	MP	395		STEEL SCREW SLEEVE FOR HOSE STUD	SIST DE LUBRICACION	UNIDAD		20	1.126814988290398126463700234192037	3.8492
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000112	11-8051	MP	395		STEEL HOSE STUD STRAIGHT	SIST DE LUBRICACION	UNIDAD		20	1.373770491803278688524590163934426	4.6928
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000113	11-8071	MP	395		STEEL 90Â° HOSE STUD	SIST DE LUBRICACION	UNIDAD		20	2.206147540983606557377049180327869	7.5362
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000115	11-6106	MP	395		STEEL STRAIGHT SREW COUPLING M6X1	SIST DE LUBRICACION	UNIDAD		10	1.094174473067915690866510538641686	3.7377
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000116	11-6215	MP	395		STEEL 90Â° ELBOW SCREW FITTING R 1/8 BSP TAP	SIST DE LUBRICACION	UNIDAD		10	2.95073185011709601873536299765808	10.0797
101-CONSUMIBLES	CONSUMIBLES	CONSUMIBLES				A18110011135	1.1/4 A-36	MP	101	ZAB0268	BARRA CUADRADA 1.1/4 ACERO A-36	HIDRAULICA PROYECTOS	METRO		5.7	11.7552985948477751756440281030445	40.1561
101-CONSUMIBLES	CONSUMIBLES	CONSUMIBLES				A18130005254	1 BARRA CUADR	MP	101	ZAB0230	BARRA CUADRADA 1	HIDRAULICA PROYECTOS	METRO		3.5	6.890661592505854800936768149882904	23.5385
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18110009362	TRAPO	MP	100	ZAT0114	TRAPO INDUSTRIAL	HERRAMIENTAS	KILO	FERRE	51.2	1.241920374707259953161592505854801	4.2424
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008278	E070621001	MP	100	E070621001	CINTA DE EMBALAJE TRANSPARENTE 3M	UTILES DE OFICINA	UNIDAD		66	2.051200234192037470725995316159251	7.0069
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008282	E070720001	MP	100	E070720001	STRECH FILM 18 COLOR TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		73	4.372658079625292740046838407494145	14.937
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008283	E070720002	MP	100	E070720002	STRECH FILM 20 COLOR NEGRO SHURTAPE	HERRAMIENTAS	UNIDAD		52	8.547511709601873536299765807962529	29.1983
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008284	E070720003	MP	100	E070720003	STRECH FILM 12” TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		46	3.617622950819672131147540983606557	12.3578
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008285	E070720004	MP	100	E070720004	STRECH FILM 6 TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		49	2.160070257611241217798594847775176	7.3788
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008286	E070720005	MP	100	E070720005	STRECH FILM 3 TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		36	1.558840749414519906323185011709602	5.325
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008288	E070720007	MP	100	E070720007	STRECH FILM 10  COLOR NEGRO SHURTAPE	HERRAMIENTAS	UNIDAD		50	5.532786885245901639344262295081967	18.9
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008298	E080606002	MP	100	E080606002	CINTA EMBALAJE GRUESO-HABANO - PEGAFAN	UTILES DE OFICINA	UNIDAD		7	2.179303278688524590163934426229508	7.4445
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A21110000003	TRAPO	SP	100	TRAPO	TRAPO INDUSTRIAL	ELECTRONICA NAVAL	KILO	FERRE	2	1.960655737704918032786885245901639	6.6976
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18110007629	NITROGENO	SUF	100	KT05544	NITROGENO	FRIO	METRO CÚBICO		40	4.070696721311475409836065573770492	13.9055
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18110009405	ACETILENO	MP	100	ZA01810	ACETILENO	HIDRAULICA PROYECTOS	KILO		7	10.49180327868852459016393442622951	35.84
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18110011082	STARGOL / AGAMIX-20	MP	100	ZA01875	GAS STARGOL / AGAMIX-20	HIDRAULI. COMPONENTE	METRO CÚBICO		10	7.235362997658079625292740046838407	24.716
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18130006873	"""5/8""""TUBO D CO"""	SUF	100	ZP00048	"""TUBO DE COBRE 5/8"""""""	FRIO	METRO		54.13	4.23290398126463700234192037470726	14.4596
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A26050000009	ARGON	MP	100		ARGON 5.0	PRODUCCION	METRO CÚBICO		10	13.26112412177985948477751756440281	45.3
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A18130007149	7910514	MP	100	ZAC0011	HYPERION UNIVERSAL TRACTOR (J20C)	LUBRICACION INDUSTRI	BALDE		7	66.78337236533957845433255269320843	228.132
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A18130007154	7910814	MP	100	ZAC0017	HYPERION 6000 HYDRAULIC AW 46	LUBRICACION INDUSTRI	BALDE		6	47.91080210772833723653395784543326	163.6633
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A23020000115	1052756	MP	100		"DRIVE RING SEAL,.50"""	EQUIPOS TRANS. MATER	UNIDAD		2	108.7309718969555035128805620608899	371.425
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A26040000097	BONN DILU D820 NF	MP	100		BONN DILU D820 NF ENVASE 3.785 L	HIDRAULICA PROYECTOS	GALÓN		5	11.67037470725995316159250585480094	39.866
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A26040000116	BONN ZIMET 86	MP	100		BONN ZIMET 86 Lata X 3.785 L - GRIS	HIDRAULICA PROYECTOS	GALÓN		3	56.11923302107728337236533957845433	191.7033
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A26040000117	RAL 1023 - 850	MP	100		BONN MASTIC 850 - Lata X 3.785 L	HIDRAULICA PROYECTOS	GALÓN		4	23.76756440281030444964871194379391	81.19
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	MP1904000001	37225	MP	100		ROLLER W-1060/ W-1095 / W1000 SERIES	HIDRAULICA PROYECTOS	PIEZA		2	187.536592505854800936768149882904	640.625
100-JAULA-PINTURA-B	JAULA-PINTURA-B	JAULA	PINTURA		B	A18130007463	9638	MP	100	9638	HYDRAULIC OIL 2-1/2 GALLON CONT.	HERRAMIENTA HIDRAULI	UNIDAD		74	50.84827283372365339578454332552693	173.6977
100-JAULA-PINTURA-B	JAULA-PINTURA-B	JAULA	PINTURA		B	A18130007465	9646	MP	100	9646	ACEITE HIDRAULICO (ENVASE DE 2.5 GL)	HERRAMIENTA HIDRAULI	UNIDAD		14	133.5318793911007025761124121779859	456.1449
100-JAULA-PINTURA-B	JAULA-PINTURA-B	JAULA	PINTURA		B	A23040000111	VAC1	MP	100	1U-5718	BOMBA MANUAL PARA TRASEGAR ACEITE	MONITOREO CONDICION	PIEZA		28	25.92617096018735362997658079625293	88.5638
100-JAULA-PINTURA-C	JAULA-PINTURA-C	JAULA	PINTURA		C	A23040000110	TUBIN 1/4	MP	100		MANGUERA DE MUESTREO - TUBIN DE PVC COLOR BLANCO 1/4 X METROS	MONITOREO CONDICION	PIEZA		199	7.212529274004683840749414519906323	24.638
105-JAULA-PINTURA-D	JAULA-PINTURA-D	JAULA	PINTURA		D	A18110002170	BOL-30-2-9	MP	105	VZC0049	HEAT EXCHANGER CON MOTOR HIDRAULICO	FILTRACION	PIEZA		2	1856.188524590163934426229508196721	6340.74
100-JAULA-PINTURA-D	JAULA-PINTURA-D	JAULA	PINTURA		D	A18110002183	BOL-725 INCOMPL	MP	100	VZCI037	HEAT EXCHANGER SIN FAN GUARD,MOTOR ELC,VENTILADOR	HIDRAULI. COMPONENTE	EQUIPO		2	1932.688817330210772833723653395785	6602.065
100-JAULA-PINTURA-D	JAULA-PINTURA-D	JAULA	PINTURA		D	A18130008103	CASACA T/M	MP	100	702CC00706	CASACA IMPERMEABLE TERMICO TALLA M DE T/HIPORA  AZUL C/F POLAR Y THINSULATE	UNIFORMES Y EQ. SEGU	UNIDAD		59	45.96305620608899297423887587822014	157.0098
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A18110007323	64238-PA	MP	100	ZBR0450	NO-TOX SYNTRA FOOD GRADE SYNTHETIC OIL 150	LUBRICACION INDUSTRI	BALDE		1	287.9361826697892271662763466042155	983.59
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A18110007837	R404-A	SUF	100	KT05542	GAS REFRIGERANTE R404-A ECOLOG	FRIO	KILO		76.3	11.13729508196721311475409836065574	38.045
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A18110011087	UNIFAST 102(BL)	MP	100	ZAP0810	PINTURA UNIFAST 102 COLOR BLANCO CON CATALIZADOR	HIDRAULICA PROYECTOS	KIT	FERRE	12	35.84748243559718969555035128805621	122.455
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A18110011109	ANTICOR. MARINA	MP	100	ZAP0340	PINTURA ANTICORR. MARINA ROJO OXIDO + CATALIZADOR	HIDRAULICA PROYECTOS	GALÓN		28	28.52280444964871194379391100702576	97.4339
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A18110011143	UNISOL	MP	100	ZAP0820	DISOLVENTE UNISOL	HIDRAULI. COMPONENTE	GALÓN		25	14.89098360655737704918032786885246	50.8676
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A18130007749	RAL 5005 AZUL	MP	100	ZAP0718	PINTURA AZUL RAL 5005	HIDRAULICA PROYECTOS	GALÓN		3	38.56557377049180327868852459016393	131.74
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A19010000155	1004853	MP	100	LU09362	SMARTWASHER® SW4  OZZYJUICE	LUBRICACION INDUSTRI	UNIDAD		3	78.90313231850117096018735362997658	269.5331
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A20030000030	18410	MP	100		SEAL COAT®  RED URETHANE COATING - USA	LUBRICACION INDUSTRI	UNIDAD		4	4.68676814988290398126463700234192	16.01
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A20080000041	RAL 7001 (GRIS PLATA)	MP	100		ESMALTE EPOXICO GL 3:1 RAL 7001 (GRIS PLATA) + CATALIZADOR	HIDRAULICA PROYECTOS	UNIDAD	FERRE	12	36.75620608899297423887587822014052	125.5592
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A20110000035	MP-1763 (FUNDICION)	MP	100		TAPA DE TANQUE MP-1763 (FUNDICION)	HIDRAULI. COMPONENTE	PIEZA		5	23.15573770491803278688524590163934	79.1
100-JAULA-PINTURA-E	JAULA-PINTURA-E	JAULA	PINTURA		E	A21110000011	ZAP0796	SP	100	THINNER	THINNER ACRILICO	ELECTRONICA NAVAL	GALÓN	FERRE	15	6.867681498829039812646370023419204	23.46
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A18110007339	70260-UNID	MP	100	ZBR0186	MOLYLUBE SPRAY COATING W/MOLY UNIDAD	LUBRICACION INDUSTRI	PIEZA		2	5.989724824355971896955503512880562	20.4609
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A18110007348	61881-A400W XUN	MP	100	ZBR0331	NO-TOX MULTIPURPOSE LUBRICANT (SPRAY 400ML)	LUBRICACION INDUSTRI	UNIDAD		6	4.419408665105386416861826697892272	15.0967
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A18110007398	300873150285	MP	100	12310-A400W	6 IN 1 MULTIPURPOSE LUB AERO (CAJA AEROSOL X 12)	LUBRI PLANTA MINERIA	CAJA		4	121.4073477751756440281030444964871	414.7275
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A18130002932	64070-A400W X 1	MP	100	ZBR0421	NO-TOX FOOD GRADE WATERPROOF CHAIN LUBE (AEROSOL 1 UND.)	LUBRICACION INDUSTRI	UNIDAD		14	0.3007611241217798594847775175644028	1.0274
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A18130007462	9637	MP	100	9637	HYDRAULIC OIL, 1 GALL0N	HERRAMIENTA HIDRAULI	UNIDAD		2	27.31557377049180327868852459016393	93.31
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A18130008149	42083-T01	MP	100	L011406010	FRASCO DE PVC CRISTAL C/TAPA BLANCA Y LAINA DE ESPUMA  CAP: 4 ONZAS	MONITOREO CONDICION	PIEZA		2500	0.4054156908665105386416861826697892	1.3849
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A19010000162	32350-AA	MP	100	LU09359	SP 400 500 ML	LUBRICACION INDUSTRI	UNIDAD		1	12.07104800936768149882903981264637	41.2347
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A19010000165	10732-AI	MP	100	LU09334	ECO LEAK FINDER FPS 500ML	LUBRICACION INDUSTRI	UNIDAD		3	4.729830210772833723653395784543326	16.1571
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A19010000174	32321-AA	MP	100	LU09324	CITRUS HANDCLEANER 3.8 L	LUBRICACION INDUSTRI	UNIDAD		1	21.85304449648711943793911007025761	74.65
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A19010000193	30205-AK	MP	100	LU09326	CRICK 120 500 ML	LUBRICACION INDUSTRI	UNIDAD		8	6.79016393442622950819672131147541	23.1952
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A19040000280	32721-AA	MP	100		CHAIN LUBE PRO 500 ML	LUBRICACION INDUSTRI	UNIDAD		2	5.475204918032786885245901639344262	18.7033
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A19040000297	30031-AA	MP	100		GALVA MATT 400 ML	LUBRICACION INDUSTRI	UNIDAD		27	6.795901639344262295081967213114754	23.2148
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A19100000181	14085	MP	100		DUSTER  - USA	LUBRICACION INDUSTRI	UNIDAD		6	12.1116217798594847775175644028103	41.3733
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A21040000001	1007939	MP	100		COPPER ANTI-SEIZE COMPOUND	LUBRICACION INDUSTRI	UNIDAD		5	14.34713114754098360655737704918033	49.0098
100-JAULA-PINTURA-F	JAULA-PINTURA-F	JAULA	PINTURA		F	A21050000105	2083	MP	100		DI-ELECTRIC GREASE NON-CURING SILICONE COMPOUND	LUBRICACION INDUSTRI	UNIDAD		11	6.218969555035128805620608899297424	21.244
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A18110007318	67700 X PINTA	MP	104	ZBR0168	MOLYLUBE ANTI-SEIZE COMPOUND (LATA DE 1 PINTA)	LUBRICACION INDUSTRI	UNIDAD		7	21.65524004683840749414519906323185	73.9743
100-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A18130008092	CORRUGADO	MP	100	604MC00026	CAJA T/MEDICINA TROQUELADA PAÑO (L)67.5 X (A)37.5	MONITOREO CONDICION	UNIDAD		2830	0.2689988290398126463700234192037471	0.9189
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A19010000165	10732-AI	MP	104	LU09334	ECO LEAK FINDER FPS 500ML	LUBRICACION INDUSTRI	UNIDAD		6	4.729830210772833723653395784543326	16.1571
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A19040000274	32734-AA	MP	104		LUBRICANTE MULTISUO 5-56 PRO 500 ML	LUBRICACION INDUSTRI	UNIDAD		5	4.748916861826697892271662763466042	16.2223
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A19040000280	32721-AA	MP	104		CHAIN LUBE PRO 500 ML	LUBRICACION INDUSTRI	UNIDAD		7	5.475204918032786885245901639344262	18.7033
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A19040000292	30696-AA	MP	104		SOFT LOCK 50 ML	LUBRICACION INDUSTRI	UNIDAD		11	13.91053864168618266978922716627635	47.5184
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A19100000179	82130	MP	104		QD CONTACT CLEANER (SPRAY DE 11 OZ) - USA	LUBRICACION INDUSTRI	UNIDAD		3	4.465222482435597189695550351288056	15.2532
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A19100000181	14085	MP	104		DUSTER  - USA	LUBRICACION INDUSTRI	UNIDAD		3	12.1116217798594847775175644028103	41.3733
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A20020000119	18150	MP	104		PAINT RUST PROOF PRIMERS - USA	LUBRICACION INDUSTRI	UNIDAD		6	8.151639344262295081967213114754098	27.846
104-JAULA-PINTURA-G	JAULA-PINTURA-G	JAULA	PINTURA		G	A20030000032	2105	MP	104		SMOKE TEST® BRAND SMOKE DETECTOR TESTER - USA	LUBRICACION INDUSTRI	UNIDAD		7	3.749590163934426229508196721311475	12.8086
100-JAULA-PINTURA-H	JAULA-PINTURA-H	JAULA	PINTURA		H	A18130008102	CASACA T/S	MP	100	702CC00705	CASACA IMPERMEABLE TERMICO TALLA S DE T/HIPORA  AZUL C/F POLAR Y THINSULATE	UNIFORMES Y EQ. SEGU	UNIDAD		100	45.8617388758782201405152224824356	156.6637
100-JAULA-PINTURA-A-1	JAULA-PINTURA-A-1	JAULA	PINTURA	1	A	A21020000193	20000253	MP	100		GLOBAL ATF III (20)	LUBRICACION INDUSTRI	BALDE		1	77.73752927400468384074941451990632	265.5514
100-JAULA-PINTURA-B-1	JAULA-PINTURA-B-1	JAULA	PINTURA	1	B	A18130005657	10841	MP	100	LU00222	SYNFILM 46 PL	LUBRICACION INDUSTRI	BALDE		8	137.8103044496487119437939110070258	470.76
100-JAULA-PINTURA-E-2	JAULA-PINTURA-E-2	JAULA	PINTURA	2	E	A19010000173	20790-AJ	MP	100	LU09327	CRICK 130 500 ML	LUBRICACION INDUSTRI	UNIDAD		10	6.70266393442622950819672131147541	22.8963
104-JAULA-PINTURA-E-2	JAULA-PINTURA-E-2	JAULA	PINTURA	2	E	A23060000076	62280-CG-UND	MP	104		NO-TOX FOODGRADE GREASE EP 2	LUBRICACION INDUSTRI	UNIDAD		3	10.8157786885245901639344262295082	36.9467
104-JAULA-PINTURA-F-2	JAULA-PINTURA-F-2	JAULA	PINTURA	2	F	A19040000118	33237-AA	MP	104		CHAIN LUBE IND 500 ML	LUBRICACION INDUSTRI	UNIDAD		10	9.725995316159250585480093676814988	33.224
395-P-P-R-1	P-P-R-1	P	P	1	R	A18110003522	900564-8S	MP	395	FF01503	"PROTECTOR RESORTE METALICO PARA MANGUERA R12 1.1/4"" DIAM. INT 54.1MM"	MANGUERA Y CONEXION	PIEZA		15	18.9972189695550351288056206088993	64.8945
395-P-P-R-1	P-P-R-1	P	P	1	R	A18110004433	900729-5	MP	395	LU00994	"ABRAZADERA DE SOPORTE DI 20.6MM (P/MANG 1/2"")"	MANGUERA Y CONEXION	PIEZA		20	0.645257611241217798594847775175644	2.2042
104-P-P-R-1	P-P-R-1	P	P	1	R	A18110005540	EC210-48	MP	104	FW04054	"MANGUERA HIDRAULICA SAE100R2 DIAM. INT.3"" 50BAR/725PSI"	MANGUERA Y CONEXION	METRO		16.29	30.79707259953161592505854800936768	105.2028
395-P-P-R-1	P-P-R-1	P	P	1	R	A18110005854	1CN-12-02Z	MP	395	FW03299	"ADAPTADOR RECTO MACHO M12x1.5 T6 A MACHO NPT 1/8"""	MANGUERA Y CONEXION	PIEZA		15	5.498448477751756440281030444964871	18.7827
395-P-P-R-1	P-P-R-1	P	P	1	R	A18110005878	00400-08DZ	MP	395	FW02496	"FERRULA PRENSABLE R12 MANGUERA 1/2"" (PELAR)"	MANGUERA Y CONEXION	PIEZA		40	0.4932377049180327868852459016393443	1.6849
395-P-P-R-1	P-P-R-1	P	P	1	R	A18110006032	9J-06Z	MP	395	FW03134	"ADAPTADOR TAPON HEMBRA JIC 3/8"""	MANGUERA Y CONEXION	PIEZA		20	0.2854215456674473067915690866510539	0.975
395-P-P-R-1	P-P-R-1	P	P	1	R	A18130008203	11-727 T/8	MP	395	803SG00003	GUANTE HYFLEX 11-727 TALLA 8 DE PROTECCION CONTRA CORTES C/ HILO INTERCEPT	UNIFORMES Y EQ. SEGU	UNIDAD		203	5.410392271662763466042154566744731	18.4819
395-P-P-R-1	P-P-R-1	P	P	1	R	A18130008223	3M	MP	395	803SC00016	CARTUCHO CA-6003 C/VAPORES ORGANICOS Y GASES ACIDOS PKX2 3M	UNIFORMES Y EQ. SEGU	UNIDAD		30	12.35582552693208430913348946135831	42.2075
395-P-P-R-1	P-P-R-1	P	P	1	R	A19040000275	32318-AC	MP	395		ANTI SPATTER IND 500 ML	LUBRICACION INDUSTRI	UNIDAD		12	7.308108899297423887587822014051522	24.9645
395-P-P-R-1	P-P-R-1	P	P	1	R	A19080000017	TP62PVC-24	MP	395		"TAPA DE PLASTICO PARA BRIDA COD62 1.1/2"""	MANGUERA Y CONEXION	UNIDAD		60	0.8969262295081967213114754098360656	3.0639
395-P-P-R-1	P-P-R-1	P	P	1	R	A20010000115	87692-20-20Z	MP	395		ESPIGA R2/R12 A 90°  BRIDA COD 62 1.1/4 A MANGUERA1.1/4	MANGUERA Y CONEXION	PIEZA		5	15.09821428571428571428571428571429	51.5755
395-P-P-R-1	P-P-R-1	P	P	1	R	A22120000034	1WA12FR12	MP	395		ESPIGA R15 RECTA HEMBRA ORS 3/4 A MANGUERA 3/4	MANGUERA Y CONEXION	PIEZA		3	14.43773419203747072599531615925059	49.3193
395-P-P-R-1	P-P-R-1	P	P	1	R	A23030000007	5N-04.065	MP	395		"ADAPTADOR RECTO MACHO NPT 1/4"" A HEMBRA NPT 1/4""  L:65MM"	MANGUERA Y CONEXION	PIEZA		50	4.49871194379391100702576112412178	15.3676
395-P-P-R-1	P-P-R-1	P	P	1	R	A23040000175	1958-N	MP	395		"ADAPTADOR RECTO GRASERA A MACHO NPT 1/8"" + TAPA DE PROTECTOR"	MANGUERA Y CONEXION	PIEZA		60	2.504244730679156908665105386416862	8.5545
395-P-P-R-1	P-P-R-1	P	P	1	R	A23120000050	24292-16-16.125	MP	395		"ESPIGA R2/R12 A 90Â° HEMBRA ORS 1"" A MANGUERA 1"" D: 125MM"	MANGUERA Y CONEXION	PIEZA		6	24.9926814988290398126463700234192	85.375
108-P-P-R-1	P-P-R-1	P	P	1	R	A24080000119	151B3005	MP	108		OMT 500 MOTOR HIDRAULICO ORBITAL 500CC	HIDRAULI. COMPONENTE	UNIDAD		2	790.4790105386416861826697892271663	2700.2763
100-P-P-R-2	P-P-R-2	P	P	2	R	A18130008021	PANTALON T/34	SUF	100	702CP00008	PANTALON AZUL DRIL TALLA 34 100% ALGODÓN TEZTURIZADO 06 BOLSILLOS	UNIFORMES Y EQ. SEGU	UNIDAD		1	15.38135245901639344262295081967213	52.5427
100-P-P-R-2	P-P-R-2	P	P	2	R	A18130008048	POLO T/M	SP	100	702CP00405	POLO CELESTE TALLA M C/MANGAS LARGAS, BOLSILLO Y LOGO 100% ALGODON	UNIFORMES Y EQ. SEGU	UNIDAD		1	7.71443208430913348946135831381733	26.3525
100-P-P-R-2	P-P-R-2	P	P	2	R	A18130008094	CHALECO NT/S	SUF	100	803SC00701	CHALECO DE SEGURIDAD NARANJA TALLA S  C/LOGO SUF Y BOLSILLOS CON CIERRE Y MALLA	UNIFORMES Y EQ. SEGU	UNIDAD		2	16.75512295081967213114754098360656	57.2355
100-P-P-R-2	P-P-R-2	P	P	2	R	A18130008095	CHALECO NT/M	SUF	100	803SC00704	CHALECO DE SEGURIDAD NARANJA TALLA M  C/LOGO SUF Y BOLSILLOS CON CIERRE Y MALLA	UNIFORMES Y EQ. SEGU	UNIDAD		10	16.43723653395784543325526932084309	56.1496
100-P-P-R-2	P-P-R-2	P	P	2	R	A23050000071	6104745	MP	100		ANTI SEIZE GA 238 (18KG)	LUBRICACION MINERIA	BALDE		2	211.8223067915690866510538641686183	723.585
104-P-P-R-CONTROL	P-P-R-CONTROL	P	P	CONTROL	R	A18110001841	PVFB-LAN-N4V	MP	104	-	BODY ALUM. W/ REDUCER PVFB-LAN & CHECK CXED-XCN SU00713	HIDRAULI. COMPONENTE	PIEZA		4	184.4837529274004683840749414519906	630.1965
104-P-P-R-CONTROL	P-P-R-CONTROL	P	P	CONTROL	R	A19030000377	KIT B809-26M-H21	MP	104	-	KIT MANIFOLD PROPORCIONAL CONTROL XMD SUN HYDRAULICS	HIDRAULI. COMPONENTE	UNIDAD		1	383.6753512880562060889929742388759	1310.635
104-P-P-R-CONTROL	P-P-R-CONTROL	P	P	CONTROL	R	A25110000055	LPJAXFN	MP	104		VALVULA MODULADOR NO LPJAXFN	HIDRAULI. COMPONENTE	UNIDAD		5	294.5456674473067915690866510538642	1006.168
100-PATIO-RECEPCION	PATIO-RECEPCION	PATIO	RECEPCION			A18110000601	2FBAR95-D6W-95S	MP	100	-	FLOW REGULATOR PRESSURE COMPENSATED C/P	HIDRAULI. COMPONENTE	PIEZA		40	257.9531323185011709601873536299766	881.1679
100-PATIO-RECEPCION	PATIO-RECEPCION	PATIO	RECEPCION			A18110008816	112-1068-006	MP	100	112-1068-006	MOTOR CHARLYNN 29.9 CU.IN./REV.	HIDRAULI. COMPONENTE	PIEZA		10	899.0459601873536299765807962529274	3071.141
100-PATIO-RECEPCION	PATIO-RECEPCION	PATIO	RECEPCION			A18110010464	0154067186*****	MP	100	MS01662	CYLINDER/PISTON GM4-1000	HIDRAULI. COMPONENTE	SET		88	285.4317622950819672131147540983607	975.0349
100-PATIO-RECEPCION	PATIO-RECEPCION	PATIO	RECEPCION			A18110010628	4535VQ-60A3811C	MP	100	432659-3	BOMBA DOBLE A/N 432659-3	HIDRAULI. COMPONENTE	PIEZA		4	2920.616949648711943793911007025761	9976.8275
100-PATIO-RECEPCION	PATIO-RECEPCION	PATIO	RECEPCION			A18130007515	B407-03V-H21	MP	100	-	MANIFOLD	HIDRAULI. COMPONENTE	PIEZA		23	273.7402224824355971896955503512881	935.0966
105-PATIO-RECEPCION	PATIO-RECEPCION	PATIO	RECEPCION			A18130007515	B407-03V-H21	MP	105	-	MANIFOLD	HIDRAULI. COMPONENTE	PIEZA		24	273.7402224824355971896955503512881	935.0966
